case,city,date,fatalities,injured,total_victims,location,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,race,gender,latitude,longitude,type,year
Harry Pratt Co. warehouse shooting,"Aurora, Illinois",2019-02-15,5,6.0,11.0,Workplace,45.0,True,False,Black,Male,41.753725,-88.331057,Mass,2019
Pennsylvania hotel bar shooting,"State College, Pennsylvania",2019-01-24,3,1.0,4.0,Other,21.0,,True,White,Male,40.785142,-77.839411,Spree,2019
SunTrust bank shooting,"Sebring, Florida",2019-01-23,5,0.0,5.0,Workplace,21.0,True,True,White,Male,27.471043,-81.45847,Mass,2019
Mercy Hospital shooting,"Chicago, Illinois",2018-11-19,3,0.0,3.0,Workplace,32.0,,,Latino,Male,41.847667,-87.622009,Mass,2018
Thousand Oaks nightclub shooting,"Thousand Oaks, California",2018-11-07,12,22.0,34.0,Other,28.0,True,True,,Male,34.176946,-118.874793,Mass,2018
Tree of Life synagogue shooting,"Pittsburgh, Pennsylvania",2018-10-27,11,6.0,17.0,Religious,46.0,,True,White,Male,40.443898,-79.921398,Mass,2018
Rite Aid warehouse shooting,"Perryman, Maryland",2018-09-20,3,3.0,6.0,Workplace,26.0,,True,Black,Female,39.455658,-76.208485,Mass,2018
T&T Trucking shooting,"Bakersfield, California",2018-09-12,5,0.0,5.0,Workplace,54.0,,True,Latino,Male,35.349388,-118.916335,Spree,2018
Fifth Third Center shooting,"Cincinnati, Ohio",2018-09-06,3,2.0,5.0,Workplace,29.0,True,True,Latino,Male,39.101981,-84.511782,Mass,2018
Capital Gazette shooting,"Annapolis, Maryland",2018-06-28,5,2.0,7.0,Workplace,38.0,,True,White,Male,38.994548,-76.543657,Mass,2018
Santa Fe High School shooting,"Santa Fe, Texas",2018-05-18,10,13.0,23.0,School,17.0,,,White,Male,29.392825,-95.141972,Mass,2018
Waffle House shooting,"Nashville, Tennessee",2018-04-22,4,4.0,8.0,Other,29.0,True,True,White,Male,36.052521,-86.616944,Mass,2018
Yountville veterans home shooting,"Yountville, California",2018-03-09,3,0.0,3.0,Workplace,36.0,True,True,Asian,Male,38.392496,-122.366528,Mass,2018
Marjory Stoneman Douglas High School shooting,"Parkland, Florida",2018-02-14,17,17.0,34.0,School,19.0,True,True,White,Male,26.30483,-80.269511,Mass,2018
